rule_key,from_priority_rank,to_priority_rank,scoring_version_snapshot,fodmap_safety_score_snapshot,from_level,to_level,from_driver_subtype,to_driver_subtype,from_burden_ratio,to_burden_ratio,to_coverage_ratio,auto_eligible,second_review_required,review_decision,review_reason_code,review_notes,reviewed_by,reviewed_at,second_review_decision,second_reviewed_by,second_reviewed_at
B03_001,21,39,v2_full_rollup_2026_02_21_batch03,0.794,high,moderate,mannitol,mannitol,4.166667,1.000000,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_002,18,39,v2_full_rollup_2026_02_21_batch03,0.782,high,moderate,mannitol,mannitol,3.125000,1.000000,0.666700,t,f,approve,,Single-review eligible; auto_eligible=true; safety >= 0.633; same-category mannitol swap,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_003,21,37,v2_full_rollup_2026_02_21_batch03,0.650,high,high,mannitol,mannitol,4.166667,1.125000,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_004,18,37,v2_full_rollup_2026_02_21_batch03,0.636,high,high,mannitol,mannitol,3.125000,1.125000,0.666700,t,f,approve,,Single-review eligible; auto_eligible=true; safety >= 0.633; same-category mannitol swap,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_005,31,32,v2_full_rollup_2026_02_21_batch03,0.551,high,high,mannitol,mannitol,20.200000,18.666667,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_006,21,38,v2_full_rollup_2026_02_21_batch03,0.606,high,high,mannitol,mannitol,4.166667,1.500000,0.333300,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_007,18,38,v2_full_rollup_2026_02_21_batch03,0.588,high,high,mannitol,mannitol,3.125000,1.500000,0.333300,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_008,21,40,v2_full_rollup_2026_02_21_batch03,0.647,high,high,mannitol,mannitol,4.166667,1.181250,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_009,18,40,v2_full_rollup_2026_02_21_batch03,0.633,high,high,mannitol,mannitol,3.125000,1.181250,0.666700,t,f,approve,,Single-review eligible; auto_eligible=true; safety >= 0.633; same-category mannitol swap,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_010,38,40,v2_full_rollup_2026_02_21_batch03,0.572,high,high,mannitol,mannitol,1.500000,1.181250,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_011,1,4,v2_full_rollup_2026_02_21_batch03,0.570,high,high,fructan,fructan,1.700000,1.360000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_012,4,5,v2_full_rollup_2026_02_21_batch03,0.558,high,high,fructan,fructan,1.360000,1.200000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_013,27,25,v2_full_rollup_2026_02_21_batch03,0.557,high,high,gos,gos,3.000000,2.057143,0.333300,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
B03_014,40,37,v2_full_rollup_2026_02_21_batch03,0.547,high,high,mannitol,mannitol,1.181250,1.125000,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Approved in substance; deferred pending second reviewer availability,fabiencampana,2026-02-21T12:00:00+00:00,,,
