rule_key,from_priority_rank,to_priority_rank,scoring_version_snapshot,fodmap_safety_score_snapshot,from_level,to_level,from_burden_ratio,to_burden_ratio,to_coverage_ratio,auto_eligible,second_review_required,review_decision,review_reason_code,review_notes,reviewed_by,reviewed_at,second_review_decision,second_reviewed_by,second_reviewed_at
B01_001,38,39,v2_full_rollup_2026_02_19_batch01,0.730,high,moderate,1.500000,1.000000,0.666700,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Same mannitol subtype; shiitake→oyster mushroom; burden -33%; Monash confirms oyster LOW at 75g,fabiencampana,2026-02-19,,,
B01_002,24,39,v2_full_rollup_2026_02_19_batch01,0.769,high,moderate,2.442857,1.000000,0.666700,t,t,reject,CROSS_SUBTYPE_CATEGORY,GOS legume → mannitol mushroom; different FODMAP subtype and food category; scoring artefact,fabiencampana,2026-02-19,,,
B01_003,37,39,v2_full_rollup_2026_02_19_batch01,0.697,high,moderate,1.125000,1.000000,0.666700,t,f,approve,VALID_INTRA_GROUP,Same mannitol subtype; button→oyster mushroom; burden -11%; well-established mushroom swap,fabiencampana,2026-02-19,,,
B01_004,19,20,v2_full_rollup_2026_02_19_batch01,0.640,high,high,4.166667,1.400000,0.500000,t,f,approve,VALID_INTRA_GROUP,Same GOS subtype; green→red lentil; burden -66%; interchangeable in French cuisine,fabiencampana,2026-02-19,,,
B01_005,31,33,v2_full_rollup_2026_02_19_batch01,0.637,high,high,20.200000,7.200000,0.666700,t,f,approve,VALID_INTRA_GROUP,Same sorbitol subtype; pear→peach; burden -64%; add serving note: extreme source load (20x threshold),fabiencampana,2026-02-19,,,
B01_006,22,20,v2_full_rollup_2026_02_19_batch01,0.634,high,high,3.750000,1.400000,0.500000,t,f,approve,VALID_INTRA_GROUP,Same GOS subtype; white bean→red lentil; burden -63%; common French culinary substitution,fabiencampana,2026-02-19,,,
B01_007,23,20,v2_full_rollup_2026_02_19_batch01,0.634,high,high,3.750000,1.400000,0.500000,t,f,approve,VALID_INTRA_GROUP,Same GOS subtype; kidney bean→red lentil; burden -63%; common French culinary substitution,fabiencampana,2026-02-19,,,
B01_008,7,4,v2_full_rollup_2026_02_19_batch01,0.625,high,high,3.150000,1.360000,0.500000,t,t,defer,AWAITING_SECOND_REVIEWER,Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank7=ciboule blanc (fructan) → rank4=oignon cru (fructan); same subtype; -57% burden; Muir 2007 confirms both HIGH fructan alliums; coverage 0.5 acceptable (GOS/lactose/polyols not primary concern for alliums). Lit: Monash blog alliums 2015; FODMAP Everyday scallions; Dr Rachel Pauls onion substitutes.,fabiencampana,2026-02-19,,,
B01_009,17,16,v2_full_rollup_2026_02_19_batch01,0.619,high,high,50.000000,7.100000,0.166700,t,t,defer,AWAITING_SECOND_REVIEWER,"Substantive review complete; dossier supports approval; deferred pending independent second reviewer. Original: Rank17=chicorée (fructan, burden 50x threshold) → rank16=artichaut (fructan); same subtype; -86% burden. Chicory root is commercial inulin/FOS source (fructan). Artichoke primarily fructan (Monash). Extreme source load makes this swap clinically highly valuable. Coverage 0.167 acceptable: both foods are fructan-dominant with no known polyol concern. Add UI note: extreme source load on chicory (burden 6.0 vs 0.12 threshold). Lit: Muir 2007; Monash high-low FODMAP foods page.",fabiencampana,2026-02-19,,,
B01_010,34,35,v2_full_rollup_2026_02_19_batch01,0.606,high,high,5.000000,2.800000,0.500000,t,f,approve,VALID_INTRA_GROUP,Same sorbitol subtype; intra-stone-fruit; burden -44%; confirm rank 34 identity before activation,fabiencampana,2026-02-19,,,
