priority_rank,food_slug,subtype_code,known_before,measurement_found,source_citation,value_raw,unit,basis,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,method,evidence_tier,confidence_score,quarantine_flag,blocked_reason,notes
3,phase2-ail-infuse-huile,fructose,false,true,"Monash FODMAP app guidance: garlic-infused oil is low FODMAP; fructose does not partition into strained oil phase",0,g_per_100g,per_100g,eq,0,14,0.000,expert_estimate,inferred,0.920,false,,"coverage_batchC_v1:garlic_oil_fodmap_zero_inference; Pass1b fat-solubility exclusion principle"
3,phase2-ail-infuse-huile,gos,false,true,"Monash FODMAP app guidance: garlic-infused oil is low FODMAP; GOS does not partition into strained oil phase",0,g_per_100g,per_100g,eq,0,14,0.000,expert_estimate,inferred,0.920,false,,"coverage_batchC_v1:garlic_oil_fodmap_zero_inference; Pass1b fat-solubility exclusion principle"
3,phase2-ail-infuse-huile,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,14,0.000,expert_estimate,inferred,0.950,false,,"coverage_batchC_v1:plant_lactose_zero_inference"
3,phase2-ail-infuse-huile,mannitol,false,true,"Monash FODMAP app guidance: garlic-infused oil is low FODMAP; polyols do not partition into strained oil phase",0,g_per_100g,per_100g,eq,0,14,0.000,expert_estimate,inferred,0.920,false,,"coverage_batchC_v1:garlic_oil_fodmap_zero_inference; Pass1b fat-solubility exclusion principle"
3,phase2-ail-infuse-huile,sorbitol,false,true,"Monash FODMAP app guidance: garlic-infused oil is low FODMAP; polyols do not partition into strained oil phase",0,g_per_100g,per_100g,eq,0,14,0.000,expert_estimate,inferred,0.920,false,,"coverage_batchC_v1:garlic_oil_fodmap_zero_inference; Pass1b fat-solubility exclusion principle"
6,phase2-oignon-poudre,fructose,false,true,"Monash allium guidance + Muir/Biesiekierski context: onion powder fructan-dominant with limited excess-fructose signal","<0.4",g_per_100g,per_100g,lt,0.4,2,0.008,literature,inferred,0.650,false,,"Pass2 bibliography + conservative excess-fructose cap for onion powder"
6,phase2-oignon-poudre,gos,false,false,,,,,,,,,,,,false,no_literature_numeric_value,"Pass2 bibliography reviewed (Monash + Muir/Biesiekierski/Yao/Dysseler); no onion-powder GOS numeric composition found"
6,phase2-oignon-poudre,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,2,0.000,expert_estimate,inferred,0.950,false,,"coverage_batchC_v1:plant_lactose_zero_inference"
6,phase2-oignon-poudre,mannitol,false,true,"Yao polyols context + Monash allium profiles: onion powder polyols remain low relative to fructans","<0.1",g_per_100g,per_100g,lt,0.1,2,0.002,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
6,phase2-oignon-poudre,sorbitol,false,true,"Yao polyols context + Monash allium profiles: onion powder polyols remain low relative to fructans","<0.1",g_per_100g,per_100g,lt,0.1,2,0.002,literature,inferred,0.600,false,,"Pass2 literature-derived conservative polyol upper bound"
