rule_key,from_priority_rank,to_priority_rank,rule_kind,instruction_fr,instruction_en,min_ratio,max_ratio,default_ratio,evidence_tier,confidence_score,valid_from,status,notes,context_cooking_methods,context_dish_roles,context_cuisines,excluded_priority_ranks,fodmap_safety_score,flavor_match_score,texture_match_score,method_match_score,availability_fr_score,cost_fr_score,ranking_score,from_overall_level,to_overall_level,from_burden_ratio,to_burden_ratio,to_coverage_ratio,from_driver_subtype,to_driver_subtype,from_root_category,to_root_category,allergen_change,second_review_required
B02_001,22,39,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Champignon, pleurote, crue dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,francaise,"",0.790,0.333,1.000,0.000,0.500,0.500,0.692,high,moderate,3.750000,1.000000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_002,19,23,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Haricot rouge, bouilli/cuit à l'eau dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Red kidney bean, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.585,1.000,1.000,1.000,0.500,0.500,0.689,high,high,4.166667,3.750000,0.833300,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,t
B02_003,31,34,direct_swap,"Remplacez Poire, chair et peau, crue par Nectarine ou brugnon, blanche, chair et peau, sans noyau, crue dans les usages similaires.","Replace Pear, flesh and skin, raw with Nectarine, white, flesh and skin, pitted, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cru_ok,garniture,francaise,"",0.653,0.333,1.000,1.000,0.500,0.500,0.640,high,high,20.200000,5.000000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_004,13,15,direct_swap,"Remplacez Farine de blé T80 par Orge perlée, bouilli/cuite à l'eau, sans sel ajouté dans les usages similaires.","Replace Wheat flour T80 with Pearled barley, boiled/cooked in water, no added salt for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",feculent_base,francaise,"",0.578,1.000,1.000,0.000,0.500,0.500,0.634,high,high,1.466667,1.093750,0.500000,fructan,fructan,cereales_et_feculents,ciqual_grp_03,f,t
B02_005,9,7,direct_swap,"Remplacez Échalote, bulbe cru par Oignon nouveau, bulbe blanc dans les usages similaires.","Replace Shallot, raw bulb with Spring onion, white bulb for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cru_ok,base_aromatique,francaise,"",0.560,1.000,0.000,1.000,0.500,0.500,0.620,high,high,5.933333,3.150000,0.166700,fructan,fructan,legumes_et_verdures,legumes_et_verdures,f,t
B02_006,18,21,direct_swap,"Remplacez Pois chiche, appertisé, égoutté par Lentille brune, cuite dans les usages similaires.","Replace Chick pea, canned, drained with Brown lentils, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.490,1.000,1.000,1.000,0.500,0.500,0.618,high,high,1.500000,1.500000,0.166700,gos,gos,ciqual_grp_02,legumineuses,f,t
B02_007,21,18,direct_swap,"Remplacez Lentille brune, cuite par Pois chiche, appertisé, égoutté dans les usages similaires.","Replace Brown lentils, cooked with Chick pea, canned, drained for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.490,1.000,1.000,1.000,0.500,0.500,0.618,high,high,1.500000,1.500000,0.166700,gos,gos,legumineuses,ciqual_grp_02,f,t
B02_008,15,11,direct_swap,"Remplacez Orge perlée, bouilli/cuite à l'eau, sans sel ajouté par Farine de blé T55 dans les usages similaires.","Replace Pearled barley, boiled/cooked in water, no added salt with Wheat flour T55 for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",feculent_base,francaise,"",0.679,0.333,1.000,0.000,0.500,0.500,0.610,high,moderate,1.093750,0.733333,0.166700,fructan,fructan,ciqual_grp_03,cereales_et_feculents,f,t
B02_009,9,1,direct_swap,"Remplacez Échalote, bulbe cru par Ail, cru dans les usages similaires.","Replace Shallot, raw bulb with Garlic, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.677,0.333,1.000,0.000,0.500,0.500,0.608,high,high,5.933333,1.700000,0.833300,fructan,fructan,legumes_et_verdures,ciqual_grp_10,f,t
B02_010,14,11,direct_swap,"Remplacez Seigle complet, cru par Farine de blé T55 dans les usages similaires.","Replace Rye, wholegrain, raw with Wheat flour T55 for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",feculent_base,francaise,"",0.677,0.333,1.000,0.000,0.500,0.500,0.608,high,moderate,1.066667,0.733333,0.166700,fructan,fructan,ciqual_grp_03,cereales_et_feculents,f,t
B02_011,24,20,direct_swap,"Remplacez Haricot noir, cuit par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Black beans, cooked with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.604,0.333,1.000,1.000,0.500,0.500,0.603,high,high,2.442857,1.400000,0.500000,gos,gos,legumineuses,ciqual_grp_02,f,t
B02_012,25,20,direct_swap,"Remplacez Pois cassé, bouilli/cuit à l'eau par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Split pea, boiled/cooked in water with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cuisson_longue,legume_principal,francaise,"",0.588,0.333,1.000,1.000,0.500,0.500,0.591,high,high,2.057143,1.400000,0.500000,gos,gos,ciqual_grp_02,ciqual_grp_02,f,t
B02_013,33,34,direct_swap,"Remplacez Pêche, chair et peau, sans noyau, crue par Nectarine ou brugnon, blanche, chair et peau, sans noyau, crue dans les usages similaires.","Replace Peach, flesh and skin, pitted, raw with Nectarine, white, flesh and skin, pitted, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,cru_ok,garniture,francaise,"",0.586,0.333,1.000,1.000,0.500,0.500,0.589,high,high,7.200000,5.000000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,t
B02_014,15,12,direct_swap,"Remplacez Orge perlée, bouilli/cuite à l'eau, sans sel ajouté par Farine de blé T65 dans les usages similaires.","Replace Pearled barley, boiled/cooked in water, no added salt with Wheat flour T65 for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",feculent_base,francaise,"",0.652,0.333,1.000,0.000,0.500,0.500,0.589,high,moderate,1.093750,0.933333,0.166700,fructan,fructan,ciqual_grp_03,cereales_et_feculents,f,t
B02_015,19,37,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Champignon de Paris ou champignon de couche, cru dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Button mushroom or cultivated mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,francaise,"",0.650,0.333,1.000,0.000,0.500,0.500,0.587,high,high,4.166667,1.125000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
B02_016,14,12,direct_swap,"Remplacez Seigle complet, cru par Farine de blé T65 dans les usages similaires.","Replace Rye, wholegrain, raw with Wheat flour T65 for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",feculent_base,francaise,"",0.649,0.333,1.000,0.000,0.500,0.500,0.587,high,moderate,1.066667,0.933333,0.166700,fructan,fructan,ciqual_grp_03,cereales_et_feculents,f,t
B02_017,10,7,direct_swap,"Remplacez Poireau, partie blanche crue par Oignon nouveau, bulbe blanc dans les usages similaires.","Replace Leek, white part raw with Spring onion, white bulb for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",base_aromatique,francaise,"",0.582,1.000,0.000,0.000,0.500,0.500,0.586,high,high,8.114286,3.150000,0.166700,fructan,fructan,legumes_et_verdures,legumes_et_verdures,f,t
B02_018,22,37,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Champignon de Paris ou champignon de couche, cru dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Button mushroom or cultivated mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch02_rule,"",legume_principal,francaise,"",0.645,0.333,1.000,0.000,0.500,0.500,0.584,high,high,3.750000,1.125000,0.666700,mannitol,mannitol,ciqual_grp_02,ciqual_grp_02,f,f
