gate_id,gate_name,claim_text,status,risk_level,source_title,source_url,publisher_or_journal,pub_date,quote_or_paraphrase,applies_to,required_action,owner
R1,Monash runtime reuse,"Monash grants website use for personal non-commercial purposes only.",supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Terms state the site is licensed only for personal non-commercial use.","public runtime rights boundary",Treat Monash as non-runtime evidence source only,legal
R1,Monash runtime reuse,"Monash terms prohibit extracting website data without written permission.",supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Terms prohibit extraction and use of data from the website without written permission.","public API derivation",Block Monash-derived DB/API ingestion unless licensed,legal
R1,Monash runtime reuse,"Monash terms prohibit copying/distributing/selling/modifying content without permission.",supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Terms prohibit copying, distributing, selling, renting, modifying, publishing and creating derivatives.","public docs and API text",Use paraphrase and links only; avoid reused text/assets,legal
R1,Monash runtime reuse,"Monash disclaimer states copyright is owned and reproduction requires written consent.",supported,High,"Monash Disclaimer and Copyright","https://www.monashfodmap.com/disclaimer-and-copyright/","Monash University",2026,"Copyright in website content is owned by Monash and reuse/reproduction requires written consent.","public docs content",Do not copy Monash prose/tables into repo/API,legal
R1,Monash runtime reuse,"Public Monash guidance can support internal evidence review.",supported,Med,"Monash FAQs","https://www.monashfodmap.com/about-fodmap-and-ibs/frequently-asked-questions/","Monash University",2026,"Public FAQ content is accessible for informational reading.","research workflow",Keep Monash in internal evidence notes only,data
R1,Monash runtime reuse,"Using Monash guidance alone to generate public cohort tags is rights-sensitive and should be treated as blocked.",partially supported,High,"Monash Terms and Conditions","https://www.monashfodmap.com/terms-and-conditions/","Monash University",2026,"Because extraction and redistribution are prohibited, Monash-derived runtime tagging is blocked without license.","safe-harbor public tagging",Use CIQUAL-derived rules for runtime tags,legal
R2,CIQUAL reuse rights,"CIQUAL 2025 dataset is published under Etalab Open License 2.0.",supported,Low,"CIQUAL 2025 dataset (Dataverse)","https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/RDMHWY","ANSES / Recherche Data Gouv",2025,"Dataset page lists license and data use agreement as Etalab Open License 2.0.","repo and pipeline storage",Use CIQUAL as primary runtime dataset,data
R2,CIQUAL reuse rights,"CIQUAL dataset page requires explicit citation to source.",supported,Low,"CIQUAL 2025 dataset (Dataverse)","https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/RDMHWY","ANSES / Recherche Data Gouv",2025,"Citation guidance requests explicit source reference when using data.","docs and release notes",Add mandatory source citation string,maintainer
R2,CIQUAL reuse rights,"Etalab Open License allows free reuse including commercial use.",supported,Low,"Etalab Open Licence 2.0","https://www.data.gouv.fr/pages/legal/licences/etalab-2.0","data.gouv.fr",2024,"License permits free reuse of public information including commercial use.","public/open project",Proceed with CIQUAL reuse under license terms,legal
R2,CIQUAL reuse rights,"Etalab Open License requires source attribution and update-date mention when available.",supported,Low,"Open Licence 2.0 (PDF)","https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf","Etalab / French Government",2021,"License requires mention of source and date of last update for reused information.","API metadata and docs",Expose source and version/update metadata,maintainer
R2,CIQUAL reuse rights,"Etalab Open License prohibits implying endorsement and misleading reuse.",supported,Low,"Open Licence 2.0 (PDF)","https://www.etalab.gouv.fr/wp-content/uploads/2018/11/open-licence.pdf","Etalab / French Government",2021,"License forbids suggesting official endorsement and misleading users about data/source/update.","public API and UI wording",Add non-endorsement wording and governance checks,product
R3,Peer-reviewed reuse,"PubMed records show publisher copyright on guideline articles.",supported,Med,"ACG IBS Guideline (PubMed)","https://pubmed.ncbi.nlm.nih.gov/33315591/","American Journal of Gastroenterology",2021,"PubMed record includes copyright statement from publisher.","journal content reuse boundary",Do not republish full text/tables/figures,data
