priority_rank,food_slug,subtype_code,amount_raw,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,source_slug,citation_ref,evidence_tier,confidence_score,observed_at,method,quarantine_flag,notes
9,phase2-echalote-bulbe-cru,fructose,"0.3 (=0.8-0.5)",eq,0.3,20,0.060,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20097: fructose 0.8 g/100g; glucose 0.5 g/100g; excess fructose=max(fructose-glucose,0)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:excess_from_ciqual20097_raw_shallot
9,phase2-echalote-bulbe-cru,lactose,0,eq,0,20,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchB_v1:plant_lactose_zero_inference
9,phase2-echalote-bulbe-cru,sorbitol,<0.5,lt,0.5,20,0.100,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20097 total polyols <0.5 g/100g (strict-match raw shallot)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:polyols_proxy_ciqual20097
9,phase2-echalote-bulbe-cru,mannitol,<0.5,lt,0.5,20,0.100,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20097 total polyols <0.5 g/100g (strict-match raw shallot)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:polyols_proxy_ciqual20097
16,phase2-artichaut-coeur,fructose,"0.0 (=0.6-0.6)",eq,0.0,75,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20155: fructose 0.6 g/100g; glucose 0.6 g/100g; excess fructose=max(fructose-glucose,0)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:excess_from_ciqual20155_artichaut_coeur
16,phase2-artichaut-coeur,lactose,0,eq,0,75,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchB_v1:plant_lactose_zero_inference
16,phase2-artichaut-coeur,sorbitol,<0.5,lt,0.5,75,0.375,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20155 total polyols <0.5 g/100g (strict-match artichoke heart)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:polyols_proxy_ciqual20155
16,phase2-artichaut-coeur,mannitol,<0.5,lt,0.5,75,0.375,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20155 total polyols <0.5 g/100g (strict-match artichoke heart)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:polyols_proxy_ciqual20155
24,phase2-haricot-noir-cuit,lactose,0,eq,0,90,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchB_v1:plant_lactose_zero_inference
25,pois-casse-bouilli-cuit-a-l-eau,lactose,0,eq,0,90,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchB_v1:plant_lactose_zero_inference
26,phase2-edamame-cuit,lactose,0,eq,0,75,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchB_v1:plant_lactose_zero_inference
29,phase2-pistache-crue,lactose,0,eq,0,30,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchB_v1:plant_lactose_zero_inference
32,phase2-cerise-douce-crue,fructose,"0.0 (=4.6-5.4)",eq,0.0,80,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=13008: fructose 4.6 g/100g; glucose 5.4 g/100g; excess fructose=max(fructose-glucose,0)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:excess_from_ciqual13008_cherry_raw
32,phase2-cerise-douce-crue,lactose,0,eq,0,80,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchB_v1:plant_lactose_zero_inference
32,phase2-cerise-douce-crue,mannitol,<=2.8,lte,2.8,80,2.240,ciqual_2025,"ANSES CIQUAL 2025 alim_code=13008 total polyols 2.8 g/100g (strict-match sweet cherry raw)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchB_v1:polyols_proxy_ciqual13008
