priority_rank,food_slug,subtype_code,amount_raw,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,source_slug,citation_ref,evidence_tier,confidence_score,observed_at,method,quarantine_flag,notes
7,phase2-oignon-nouveau-bulbe-blanc,lactose,0,eq,0,15,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchA_v1:plant_lactose_zero_inference
11,phase2-farine-ble-t55,lactose,"<0.2",lt,0.2,40,0.080,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9436 lactose <0.2 g/100g",secondary_db,0.700,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:exact_ciqual_t55
11,phase2-farine-ble-t55,sorbitol,0,eq,0,40,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9436 total polyols = 0 g/100g",secondary_db,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_zero_inference_t55
11,phase2-farine-ble-t55,mannitol,0,eq,0,40,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9436 total polyols = 0 g/100g",secondary_db,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_zero_inference_t55
12,phase2-farine-ble-t65,fructose,"<0.027",lt,0.027,40,0.011,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9435 fructose <0.1 and glucose 0.073 g/100g",secondary_db,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:excess_upper_bound_t65
12,phase2-farine-ble-t65,lactose,"<0.1",lt,0.1,40,0.040,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9435 lactose <0.1 g/100g",secondary_db,0.700,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:exact_ciqual_t65
12,phase2-farine-ble-t65,sorbitol,0,eq,0,40,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9435 total polyols = 0 g/100g",secondary_db,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_zero_inference_t65
12,phase2-farine-ble-t65,mannitol,0,eq,0,40,0.000,ciqual_2025,"ANSES CIQUAL 2025 alim_code=9435 total polyols = 0 g/100g",secondary_db,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_zero_inference_t65
18,pois-chiche-appertise-egoutte,lactose,0,eq,0,75,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchA_v1:plant_lactose_zero_inference
18,pois-chiche-appertise-egoutte,sorbitol,"<0.5",lt,0.5,75,0.375,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20507 total polyols <0.5 g/100g (boiled chickpea proxy for canned-drained)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_proxy_ciqual20507
18,pois-chiche-appertise-egoutte,mannitol,"<0.5",lt,0.5,75,0.375,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20507 total polyols <0.5 g/100g (boiled chickpea proxy for canned-drained)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_proxy_ciqual20507
21,phase2-lentille-brune-cuite,lactose,0,eq,0,100,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchA_v1:plant_lactose_zero_inference
21,phase2-lentille-brune-cuite,sorbitol,"<0.5",lt,0.5,100,0.500,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20360 total polyols <0.5 g/100g (cooked lentil average proxy for brown lentil)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_proxy_ciqual20360
21,phase2-lentille-brune-cuite,mannitol,"<0.5",lt,0.5,100,0.500,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20360 total polyols <0.5 g/100g (cooked lentil average proxy for brown lentil)",inferred,0.600,2025-11-03,derived_from_nutrient,false,coverage_batchA_v1:polyols_proxy_ciqual20360
38,phase2-shiitake-cru,lactose,0,eq,0,60,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-20,expert_estimate,false,coverage_batchA_v1:plant_lactose_zero_inference
