priority_rank,food_id,fodmap_subtype,serving_g,low_max_g,moderate_max_g,source_slug,citation_ref,evidence_tier,confidence_score,valid_from,notes
1,,fructan,3.00,0.100000,0.300000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=1 threshold_batch10
2,,fructan,1.00,0.050000,0.100000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=2 threshold_batch10
4,,fructan,40.00,0.200000,0.500000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=4 threshold_batch10
5,,fructan,60.00,0.250000,0.600000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=5 threshold_batch10
14,,fructan,40.00,0.150000,0.300000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=14 threshold_batch10
15,,fructan,75.00,0.120000,0.240000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=15 threshold_batch10
34,,sorbitol,120.00,0.100000,0.200000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=34 threshold_batch10
39,,mannitol,75.00,0.050000,0.120000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=39 threshold_batch10
40,,mannitol,90.00,0.080000,0.160000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=40 threshold_batch10
41,,mannitol,90.00,0.070000,0.140000,monash_app_v4_reference,monash_app_v4_batch10_serving_thresholds_2026-02-16,primary_lab,0.900,2026-02-16,priority_rank=41 threshold_batch10
