priority_rank,food_slug,subtype_code,pass_sequence,source_slug,source_citation,candidate_value,decision,decision_reason,notes
9,phase2-echalote-bulbe-cru,fructose,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20097 fructose+glucose pair",0.3,promote,strict_match_pass,"raw shallot exact ingredient+prep match"
9,phase2-echalote-bulbe-cru,gos,pass2_literature,"monash_app_v4_reference|muir_2007_fructan|biesiekierski_2011_fructan|yao_2005_polyols|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no shallot-bulb GOS numeric row"
9,phase2-echalote-bulbe-cru,mannitol,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20097 total polyols <0.5",<0.5,promote,strict_match_pass,"conservative upper bound"
9,phase2-echalote-bulbe-cru,sorbitol,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20097 total polyols <0.5",<0.5,promote,strict_match_pass,"conservative upper bound"
16,phase2-artichaut-coeur,fructose,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20155 fructose+glucose pair",0.0,promote,strict_match_pass,"artichoke-heart strict candidate selected"
16,phase2-artichaut-coeur,gos,pass2_literature,"monash_app_v4_reference|muir_2007_fructan|biesiekierski_2011_fructan|yao_2005_polyols|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no artichoke-heart GOS numeric row"
16,phase2-artichaut-coeur,mannitol,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20155 total polyols <0.5",<0.5,promote,strict_match_pass,"conservative upper bound"
16,phase2-artichaut-coeur,sorbitol,pass3_ciqual,ciqual_2025,"ANSES CIQUAL 2025 alim_code=20155 total polyols <0.5",<0.5,promote,strict_match_pass,"conservative upper bound"
24,phase2-haricot-noir-cuit,fructan,pass2_literature,"monash_app_v4_reference|dysseler_hoffem_gos","bibliography sweep",,block,no_literature_numeric_value,"no black-bean cooked fructan numeric row"
24,phase2-haricot-noir-cuit,fructose,pass3_ciqual,ciqual_2025,"strict-match CIQUAL lookup for black bean cooked",,block,no_strict_ciqual_match,"no strict black-bean-cooked fructose+glucose pair"
24,phase2-haricot-noir-cuit,mannitol,pass3_ciqual,ciqual_2025,"strict-match CIQUAL lookup for black bean cooked",,block,no_strict_ciqual_match,"no strict black-bean-cooked total-polyols row"
24,phase2-haricot-noir-cuit,sorbitol,pass3_ciqual,ciqual_2025,"strict-match CIQUAL lookup for black bean cooked",,block,no_strict_ciqual_match,"no strict black-bean-cooked total-polyols row"
