rule_key,from_priority_rank,to_priority_rank,rule_kind,instruction_fr,instruction_en,min_ratio,max_ratio,default_ratio,evidence_tier,confidence_score,valid_from,status,notes,context_cooking_methods,context_dish_roles,context_cuisines,excluded_priority_ranks,fodmap_safety_score,flavor_match_score,texture_match_score,method_match_score,availability_fr_score,cost_fr_score,ranking_score,from_overall_level,to_overall_level,from_burden_ratio,to_burden_ratio,to_coverage_ratio,from_root_category,to_root_category,allergen_change,second_review_required
B01_001,38,39,direct_swap,"Remplacez Shiitake, cru par Champignon, pleurote, crue dans les usages similaires.","Replace Shiitake mushroom, raw with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_rapide,legume_principal,"","",0.730,1.000,1.000,1.000,0.500,0.500,0.797,high,moderate,1.500000,1.000000,0.666700,legumes_et_verdures,ciqual_grp_02,f,t
B01_002,24,39,direct_swap,"Remplacez Haricot noir, cuit par Champignon, pleurote, crue dans les usages similaires.","Replace Black beans, cooked with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,"",legume_principal,francaise,"",0.769,1.000,1.000,0.000,0.500,0.500,0.776,high,moderate,2.442857,1.000000,0.666700,legumineuses,ciqual_grp_02,f,t
B01_003,37,39,direct_swap,"Remplacez Champignon de Paris ou champignon de couche, cru par Champignon, pleurote, crue dans les usages similaires.","Replace Button mushroom or cultivated mushroom, raw with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_rapide,legume_principal,francaise,"",0.697,1.000,1.000,1.000,0.500,0.500,0.772,high,moderate,1.125000,1.000000,0.666700,ciqual_grp_02,ciqual_grp_02,f,f
B01_004,19,20,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.640,1.000,1.000,1.000,0.500,0.500,0.730,high,high,4.166667,1.400000,0.500000,ciqual_grp_02,ciqual_grp_02,f,f
B01_005,31,33,direct_swap,"Remplacez Poire, chair et peau, crue par Pêche, chair et peau, sans noyau, crue dans les usages similaires.","Replace Pear, flesh and skin, raw with Peach, flesh and skin, pitted, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,garniture,francaise,"",0.637,1.000,1.000,1.000,0.500,0.500,0.727,high,high,20.200000,7.200000,0.666700,ciqual_grp_02,ciqual_grp_02,f,f
B01_006,22,20,direct_swap,"Remplacez Haricot blanc, bouilli/cuit à l'eau par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Haricot bean, boiled/cooked in water with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.634,1.000,1.000,1.000,0.500,0.500,0.726,high,high,3.750000,1.400000,0.500000,ciqual_grp_02,ciqual_grp_02,f,f
B01_007,23,20,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Lentille corail, bouillie/cuite à l'eau dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Lentil, pink or red, boiled/cooked in water for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.634,1.000,1.000,1.000,0.500,0.500,0.726,high,high,3.750000,1.400000,0.500000,ciqual_grp_02,ciqual_grp_02,f,f
B01_008,7,4,direct_swap,"Remplacez Oignon nouveau, bulbe blanc par Oignon, cru dans les usages similaires.","Replace Spring onion, white bulb with Onion, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,base_aromatique,francaise,"",0.625,1.000,1.000,1.000,0.500,0.500,0.719,high,high,3.150000,1.360000,0.500000,legumes_et_verdures,ciqual_grp_02,f,t
B01_009,17,16,direct_swap,"Remplacez Racine de chicorée par Artichaut, coeur dans les usages similaires.","Replace Chicory root with Artichoke, globe heart for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,"","",0.619,1.000,1.000,1.000,0.500,0.500,0.714,high,high,50.000000,7.100000,0.166700,legumes_et_verdures,legumes_et_verdures,f,t
B01_010,34,35,direct_swap,"Remplacez Nectarine ou brugnon, blanche, chair et peau, sans noyau, crue par Prune, sans noyau, crue dans les usages similaires.","Replace Nectarine, white, flesh and skin, pitted, raw with Plum, flesh and skin, pitted, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,garniture,francaise,"",0.606,1.000,1.000,1.000,0.500,0.500,0.705,high,high,5.000000,2.800000,0.500000,ciqual_grp_02,ciqual_grp_02,f,f
B01_011,19,39,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Champignon, pleurote, crue dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,"",legume_principal,francaise,"",0.794,0.333,1.000,0.000,0.500,0.500,0.695,high,moderate,4.166667,1.000000,0.666700,ciqual_grp_02,ciqual_grp_02,f,f
B01_012,23,39,direct_swap,"Remplacez Haricot rouge, bouilli/cuit à l'eau par Champignon, pleurote, crue dans les usages similaires.","Replace Red kidney bean, boiled/cooked in water with Oyster mushroom, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,"",legume_principal,francaise,"",0.790,0.333,1.000,0.000,0.500,0.500,0.692,high,moderate,3.750000,1.000000,0.666700,ciqual_grp_02,ciqual_grp_02,f,f
B01_013,9,4,direct_swap,"Remplacez Échalote, bulbe cru par Oignon, cru dans les usages similaires.","Replace Shallot, raw bulb with Onion, raw for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cru_ok,base_aromatique,francaise,"",0.656,1.000,0.000,1.000,0.500,0.500,0.692,high,high,5.933333,1.360000,0.500000,legumes_et_verdures,ciqual_grp_02,f,t
B01_014,19,21,direct_swap,"Remplacez Lentille verte, bouillie/cuite à l'eau par Lentille brune, cuite dans les usages similaires.","Replace Lentil, green, boiled/cooked in water with Brown lentils, cooked for similar culinary uses.",0.500,1.500,1.000,inferred,0.750,2026-02-19,draft,phase3_batch01_rule,cuisson_longue,legume_principal,francaise,"",0.586,1.000,1.000,1.000,0.500,0.500,0.690,high,high,4.166667,1.500000,0.166700,ciqual_grp_02,legumineuses,f,t
