rule_key,from_priority_rank,to_priority_rank,rule_kind,instruction_fr,instruction_en,min_ratio,max_ratio,default_ratio,evidence_tier,confidence_score,valid_from,status,notes,context_cooking_methods,context_dish_roles,context_cuisines,excluded_priority_ranks,fodmap_safety_score,flavor_match_score,texture_match_score,method_match_score,availability_fr_score,cost_fr_score
R01,1,3,technique_swap,"Remplacez l'ail cru par une huile infusée à l'ail filtrée (sans morceaux) pour conserver l'aromatique.","Replace raw garlic with strained garlic-infused oil to keep aroma.",0.300,1.500,1.000,inferred,0.850,2026-02-18,draft,phase3_mvp_rule,saute|marinade|vinaigrette,base_aromatique|condiment,francaise|mediterraneenne,,0.980,0.860,0.780,0.920,0.920,0.850
R02,4,8,direct_swap,"Remplacez l'oignon cru par les tiges vertes d'oignon nouveau finement émincées.","Replace raw onion with finely sliced spring onion green tops.",0.500,2.000,1.200,inferred,0.820,2026-02-18,draft,phase3_mvp_rule,cru|saute,base_aromatique|garniture,francaise|mediterraneenne,,0.940,0.780,0.720,0.810,0.900,0.900
R03,5,8,direct_swap,"Remplacez l'oignon cuit par les tiges vertes d'oignon nouveau ajoutées en fin de cuisson.","Replace cooked onion with spring onion green tops added at end of cooking.",0.500,2.000,1.300,inferred,0.800,2026-02-18,draft,phase3_mvp_rule,saute|mijote,base_aromatique,francaise,,0.930,0.760,0.700,0.780,0.900,0.900
R04,6,8,direct_swap,"Remplacez l'oignon en poudre par des tiges vertes séchées ou fraîches finement hachées.","Replace onion powder with finely chopped spring onion green tops (fresh or dried).",0.300,1.500,0.800,inferred,0.760,2026-02-18,draft,phase3_mvp_rule,assaisonnement|froid,assaisonnement|condiment,francaise|mediterraneenne,,0.890,0.700,0.620,0.690,0.850,0.930
R05,9,8,direct_swap,"Remplacez l'échalote crue par les tiges vertes d'oignon nouveau.","Replace raw shallot with spring onion green tops.",0.500,2.000,1.200,inferred,0.790,2026-02-18,draft,phase3_mvp_rule,cru|saute,base_aromatique|garniture,francaise,,0.910,0.740,0.700,0.760,0.900,0.900
R06,10,8,direct_swap,"Remplacez le blanc de poireau par les tiges vertes d'oignon nouveau (ajustez la quantité selon l'intensité voulue).","Replace leek white part with spring onion green tops (adjust quantity for flavor intensity).",0.400,1.800,1.000,inferred,0.780,2026-02-18,draft,phase3_mvp_rule,saute|vapeur,base_aromatique|legume_principal,francaise,,0.900,0.710,0.660,0.750,0.900,0.910
R07,13,11,direct_swap,"Remplacez la farine de blé T80 par de la farine T55 pour réduire la charge en fructanes.","Replace T80 wheat flour with T55 flour to reduce fructan load.",0.900,1.100,1.000,secondary_db,0.840,2026-02-18,draft,phase3_mvp_rule,boulangerie|patisserie|liant,feculent_base|liant,francaise|italienne,,0.880,0.860,0.900,0.930,0.940,0.870
R08,12,11,direct_swap,"Remplacez la farine de blé T65 par de la farine T55 pour une version plus tolérable.","Replace T65 wheat flour with T55 flour for better tolerance.",0.900,1.100,1.000,secondary_db,0.830,2026-02-18,draft,phase3_mvp_rule,boulangerie|patisserie|liant,feculent_base|liant,francaise|italienne,,0.830,0.880,0.910,0.940,0.940,0.870
R09,27,26,direct_swap,"Remplacez le soja grain entier cuit par de l'edamame cuit (portion équivalente ou légèrement supérieure).","Replace cooked whole soybeans with cooked edamame (equal or slightly larger portion).",0.900,1.300,1.100,secondary_db,0.810,2026-02-18,draft,phase3_mvp_rule,bouilli|saute|salade,legume_principal|garniture,asiatique|francaise,,0.900,0.760,0.820,0.870,0.820,0.760
R10,28,29,direct_swap,"Remplacez les noix de cajou par des pistaches en ajustant la portion selon la tolérance.","Replace cashews with pistachios and adjust portion to tolerance.",0.700,1.200,0.900,secondary_db,0.740,2026-02-18,draft,phase3_mvp_rule,cru|garniture,garniture|condiment,francaise|mediterraneenne,,0.780,0.730,0.820,0.900,0.860,0.760
R11,36,35,direct_swap,"Remplacez le pruneau sec par de la prune fraîche pour diminuer la charge en sorbitol.","Replace dried prune with fresh plum to reduce sorbitol load.",0.800,1.500,1.200,secondary_db,0.860,2026-02-18,draft,phase3_mvp_rule,compote|dessert|froid,sucrant|garniture,francaise,,0.960,0.820,0.700,0.730,0.900,0.880
R12,32,33,direct_swap,"Remplacez la cerise douce par de la pêche crue pour réduire la charge en sorbitol.","Replace sweet cherry with raw peach to reduce sorbitol load.",0.900,1.300,1.100,secondary_db,0.840,2026-02-18,draft,phase3_mvp_rule,cru|dessert,garniture|sucrant,francaise|mediterraneenne,,0.900,0.780,0.760,0.840,0.920,0.890
