priority_rank,food_slug,subtype_code,known_before,measurement_found,source_citation,value_raw,unit,basis,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,method,evidence_tier,confidence_score,quarantine_flag,blocked_reason,notes
18,pois-chiche-appertise-egoutte,fructan,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review across CIQUAL + Phase2 bibliography (Monash app/Muir/Biesiekierski) found no robust canned-drained fructan composition value"
18,pois-chiche-appertise-egoutte,fructose,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review found no fructose+glucose pair for canned-drained chickpea to compute excess fructose"
18,pois-chiche-appertise-egoutte,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,75,0.000,expert_estimate,inferred,0.950,false,,"Plant-derived food; lactose is mammalian-milk exclusive"
18,pois-chiche-appertise-egoutte,mannitol,false,true,"ANSES CIQUAL 2025 alim_code=20507 total polyols <0.5 g/100g (boiled chickpea proxy)",<0.5,g_per_100g,per_100g,lt,0.5,75,0.375,derived_from_nutrient,inferred,0.600,false,,"Proxy from close cooked chickpea variant; retained with conservative comparator and inferred tier"
18,pois-chiche-appertise-egoutte,sorbitol,false,true,"ANSES CIQUAL 2025 alim_code=20507 total polyols <0.5 g/100g (boiled chickpea proxy)",<0.5,g_per_100g,per_100g,lt,0.5,75,0.375,derived_from_nutrient,inferred,0.600,false,,"Proxy from close cooked chickpea variant; retained with conservative comparator and inferred tier"
21,phase2-lentille-brune-cuite,fructan,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"Second-pass review across CIQUAL + Phase2 bibliography found no brown-cooked lentil fructan composition row suitable for direct promotion"
21,phase2-lentille-brune-cuite,fructose,false,false,,,,,,,,,,,,false,insufficient_variant_specific_evidence,"No brown-cooked lentil fructose+glucose pair found for excess-fructose computation after second-pass review"
21,phase2-lentille-brune-cuite,lactose,false,true,"Biochemical class inference v1 (plant-derived foods)",0,g_per_100g,per_100g,eq,0,100,0.000,expert_estimate,inferred,0.950,false,,"Plant-derived food; lactose is mammalian-milk exclusive"
21,phase2-lentille-brune-cuite,mannitol,false,true,"ANSES CIQUAL 2025 alim_code=20360 total polyols <0.5 g/100g (cooked lentil average proxy)",<0.5,g_per_100g,per_100g,lt,0.5,100,0.500,derived_from_nutrient,inferred,0.600,false,,"Proxy from cooked lentil average row; conservative upper bound retained"
21,phase2-lentille-brune-cuite,sorbitol,false,true,"ANSES CIQUAL 2025 alim_code=20360 total polyols <0.5 g/100g (cooked lentil average proxy)",<0.5,g_per_100g,per_100g,lt,0.5,100,0.500,derived_from_nutrient,inferred,0.600,false,,"Proxy from cooked lentil average row; conservative upper bound retained"
