priority_rank,food_slug,subtype_code,amount_raw,comparator,amount_g_per_100g,serving_g,amount_g_per_serving,source_slug,citation_ref,evidence_tier,confidence_score,observed_at,method,quarantine_flag,notes
3,phase2-ail-infuse-huile,fructose,0,eq,0,14,0.000,monash_app_v4_reference,"Monash FODMAP app: garlic-infused oil remains low FODMAP when solids are strained; fructose not oil-soluble",inferred,0.920,2026-02-24,expert_estimate,false,coverage_batchC_v1:garlic_oil_fodmap_zero_inference
3,phase2-ail-infuse-huile,gos,0,eq,0,14,0.000,monash_app_v4_reference,"Monash FODMAP app: garlic-infused oil remains low FODMAP when solids are strained; GOS not oil-soluble",inferred,0.920,2026-02-24,expert_estimate,false,coverage_batchC_v1:garlic_oil_fodmap_zero_inference
3,phase2-ail-infuse-huile,lactose,0,eq,0,14,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-24,expert_estimate,false,coverage_batchC_v1:plant_lactose_zero_inference
3,phase2-ail-infuse-huile,mannitol,0,eq,0,14,0.000,monash_app_v4_reference,"Monash FODMAP app: garlic-infused oil remains low FODMAP when solids are strained; polyols not oil-soluble",inferred,0.920,2026-02-24,expert_estimate,false,coverage_batchC_v1:garlic_oil_fodmap_zero_inference
3,phase2-ail-infuse-huile,sorbitol,0,eq,0,14,0.000,monash_app_v4_reference,"Monash FODMAP app: garlic-infused oil remains low FODMAP when solids are strained; polyols not oil-soluble",inferred,0.920,2026-02-24,expert_estimate,false,coverage_batchC_v1:garlic_oil_fodmap_zero_inference
6,phase2-oignon-poudre,fructose,<0.4,lt,0.4,2,0.008,monash_app_v4_reference,"Monash allium profile context: onion powder fructan-dominant with limited excess-fructose signal",inferred,0.650,2026-02-24,literature,false,coverage_batchC_v1:literature_excess_onion_powder
6,phase2-oignon-poudre,lactose,0,eq,0,2,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-24,expert_estimate,false,coverage_batchC_v1:plant_lactose_zero_inference
6,phase2-oignon-poudre,mannitol,<0.1,lt,0.1,2,0.002,yao_2005_polyols,"Yao polyols context + allium composition profile: conservative mannitol upper bound for onion powder",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_onion_powder
6,phase2-oignon-poudre,sorbitol,<0.1,lt,0.1,2,0.002,yao_2005_polyols,"Yao polyols context + allium composition profile: conservative sorbitol upper bound for onion powder",inferred,0.600,2026-02-24,literature,false,coverage_batchC_v1:literature_polyol_cap_onion_powder
8,phase2-oignon-nouveau-tiges-vertes,fructose,0.05,eq,0.05,30,0.015,monash_app_v4_reference,"Monash spring onion green tops profile: low serving with no excess-fructose burden",inferred,0.700,2026-02-24,literature,false,coverage_batchC_v1:literature_excess_green_tops
8,phase2-oignon-nouveau-tiges-vertes,lactose,0,eq,0,30,0.000,internal_rules_v1,"Biochemical class inference v1: plant-derived foods do not contain lactose (mammalian-milk disaccharide)",inferred,0.950,2026-02-24,expert_estimate,false,coverage_batchC_v1:plant_lactose_zero_inference
